text,true_emotion,predicted_emotion
@isthataspider @dhodgs i will fight this guy! Don't insult the lions like that! But seriously they kinda are.Wasted some of the best players,anger,anger
@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger,anger
Just seeing Alex revells face gets me angry,anger,anger
For the first time in my madden career I just set up a farm account. Should make MOTM much easier,anger,joy
Everybody talking about 'the first day of fall' but summer '16 is never gonna die #revenge @Drake,anger,anger
"@CozanGaming that's what lisa asked before she started raging at me, 'can I call you?' heh",anger,anger
Eat my ass' is no longer an insult,anger,anger
@DJ_JeanFranko growl!!!,anger,anger
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 ,anger,anger
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. #fuming,anger,anger
"Anger, resentment, and hatred are the destroyer of your fortune today.'",anger,anger
"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",anger,anger
"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",anger,anger
@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid #bitter #hypocrisy,anger,anger
"I miss my gran singing Rawhide, in her deep baritone growl.",anger,sadness
"Ananya just grabbed a bible, opened it, started reading, and then said 'where do they talk about burning people?'",anger,anger
"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm #snap #bored",anger,anger
"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. #fuming",anger,anger
#oow16 #sting decent new song,anger,joy
The rage has died down.,anger,anger
I have been seeing terrible terrible prescriptions this week. What's going on?,fear,anger
"@JeffersonLake speaking of ex cobblers, saw Ricky Holmes at Charlton last week.. tracking back &amp; defending... I dread seeing Gorre on ball..",fear,anger
Staff on @ryainair FR1005. Asked for info and told to look online. You get what you pay for. #Ryanair @STN_Airport #Compensation #awful,fear,anger
@ChrissyCostanza and have social anxiety. There is many awkward things wrong with me. 😄,fear,joy
"@soozclifford Sure have... Sydney are too tough, too quick and their 'team' pressure is too much for the Cats to handle. Motlop/Cowan #timid",fear,anger
Another fun fact: i am afraid,fear,fear
